1,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R ,,REFERENCE VALUES,TOOLTIPS and REFERENCES,
138,T.6.5,Peak Cooling Load (Enclosure Only),10.46,kW,T.6.6,Peak Cooling Imp,2.97,Tons-Cooling," 35,699 ",BTU/hr,,,,,,,,,0,,
139,T.6.7,Peak Cooling Load (Enclosure + Gains),48.04,kW,T.6.7,Peak Cooling Imp,13.66,Tons-Cooling," 163,912 ",BTU/hr,,,,,,,,,,,
140,T.6.8,Max. Heating Load Intensity,32.26,W/m2,T.6.8,Heat Load Imp,7.33,T.6.6 Mx. Cool Intsty in W/m2 (Enclosure Only),,,,65%,,,,,,,50,,
141,T.7.1,Annual Cost of Electricity ,"$28,523.08",,T.7.2,pre and,"$17,259.53",post heat pump,,T.7.3,∑ Other Energy,$0.00,,,"$11,263.54",,,Heatpump Savings,,assume TEDI covered 100% by Electricity,
142,T.7.4,Cost Premium of HP Equipment,"$30,000.00",,T.7.5,ROI,2.66,Years to Amortize,,,,,,,,,,,,assume TEDI covered 100% by Electricity,
143,T.3.1,TEUI Reference (Performance Gap) ,226.86,Reference ,T.3.2,Targeted TEUI,93.03,Target (Design),T.3.3,Actual,93.15,Actual (Utility Bills),,,,,,,,assume TEDI covered 100% by Electricity,
144,T.8.1,TEUI Energy Reduction from Reference,59%,,T.8.2,Target % of Utility Data,100%,of Utility Data,T.8.3,Actual,100%,of Targeted Design ,,,,,,,,,
145,T.9.1,GHGe Reduction from Reference,86%,,,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,,,,,,
147,,,,,,,Developed by OpenBuilding.ca,,"The OBJECTIVE TEUI3 Framework, Calculator and Workshop Resources are generously supported by: ",,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,,,,,
150,,"PROJECT NOTES: 3.035 Bug w. PH Low Energy IndexMatch (only that option, the rest work) - possibly because last in row, or because of something else - changes in REPORT sheet changes REFERENCE sheet - where these two should be independent. 15 Sections, 85 Inputs, 48 Dropdowns, 488 Formulae, >10,000 dependencies",,,,,,,,,,,,,,,,,,,
151,,"* Per StatsCan, NRC
** Based on the Ontario Building Code SB10 and SB12, NBC and NECB DRAFTS for 2025
",,,,,,,,,,,,,,,,,,,
